"","time","day","area","year","air_temp"
"225",6,29,"srimangal",1982,286.218988910373
"226",9,29,"srimangal",1982,289.946378073297
"227",12,29,"srimangal",1982,297.853506235242
"228",15,29,"srimangal",1982,301.581011089871
"229",18,29,"srimangal",1982,298.945322925937
"230",21,29,"srimangal",1982,295.217865992179
"231",0,30,"srimangal",1982,292.582181928447
"232",3,30,"srimangal",1982,288.854744844652
"233",6,30,"srimangal",1982,285.058986277327
"234",9,30,"srimangal",1982,288.796082182863
"235",12,30,"srimangal",1982,296.723801824396
"236",15,30,"srimangal",1982,300.461013722917
"237",18,30,"srimangal",1982,297.818461787723
"238",21,30,"srimangal",1982,294.081297934867
"239",0,31,"srimangal",1982,291.438750110553
"240",3,31,"srimangal",1982,287.701606159352
"241",6,31,"srimangal",1982,286.248982327759
"242",9,31,"srimangal",1982,290.000638347212
"243",12,31,"srimangal",1982,297.959245208128
"244",15,31,"srimangal",1982,301.711017672487
"245",18,31,"srimangal",1982,299.058170080403
"246",21,31,"srimangal",1982,295.306445848899
"247",0,32,"srimangal",1982,292.653602383711
"248",3,32,"srimangal",1982,288.901898131401
"249",6,32,"srimangal",1982,287.41922390972
"250",9,32,"srimangal",1982,290.280286294543
"251",12,32,"srimangal",1982,296.349624903223
"252",15,32,"srimangal",1982,299.210776090467
"253",18,32,"srimangal",1982,297.18767951151
"254",21,32,"srimangal",1982,294.326565107278
"255",0,33,"srimangal",1982,292.303471675546
"256",3,33,"srimangal",1982,289.442372507712
"257",6,33,"srimangal",1982,286.689176514894
"258",9,33,"srimangal",1982,289.724960266729
"259",12,33,"srimangal",1982,296.164945508
"260",15,33,"srimangal",1982,299.200823485305
"261",18,33,"srimangal",1982,297.054179023664
"262",21,33,"srimangal",1982,294.018340075662
"263",0,34,"srimangal",1982,291.871698953442
"264",3,34,"srimangal",1982,288.835876172305
"265",6,34,"srimangal",1982,285.099048153906
"266",9,34,"srimangal",1982,288.608035608065
"267",12,34,"srimangal",1982,296.051855479271
"268",15,34,"srimangal",1982,299.560951846324
"269",18,34,"srimangal",1982,297.079698535746
"270",21,34,"srimangal",1982,293.5706472817
"271",0,35,"srimangal",1982,291.089397831077
"272",3,35,"srimangal",1982,287.580365263911
"273",6,35,"srimangal",1982,285.739102789609
"274",9,35,"srimangal",1982,289.046675334573
"275",12,35,"srimangal",1982,296.06322200432
"276",15,35,"srimangal",1982,299.370897210608
"277",18,35,"srimangal",1982,297.03206715368
"278",21,35,"srimangal",1982,293.724434470925
"279",0,36,"srimangal",1982,291.385608052392
"280",3,36,"srimangal",1982,288.077992983894
"281",6,36,"srimangal",1982,288.589321332419
"282",9,36,"srimangal",1982,291.091234240605
"283",12,36,"srimangal",1982,296.398688104515
"284",15,36,"srimangal",1982,298.900678667745
"285",18,36,"srimangal",1982,297.131541625417
"286",21,36,"srimangal",1982,294.629583227824
"287",0,37,"srimangal",1982,292.860448937649
"288",3,37,"srimangal",1982,290.358503863826
"289",6,37,"srimangal",1982,287.359162033141
"290",9,37,"srimangal",1982,290.448332869341
"291",12,37,"srimangal",1982,297.001571248349
"292",15,37,"srimangal",1982,300.090837967061
"293",18,37,"srimangal",1982,297.906442763488
"294",21,37,"srimangal",1982,294.817215760446
"295",0,38,"srimangal",1982,292.632823955022
"296",3,38,"srimangal",1982,289.543613403153
"297",6,38,"srimangal",1982,284.458970479052
"298",9,38,"srimangal",1982,288.254306840258
"299",12,38,"srimangal",1982,296.305575359322
"300",15,38,"srimangal",1982,300.101029521197
"301",18,38,"srimangal",1982,297.417294958441
"302",21,38,"srimangal",1982,293.621889590995
"303",0,39,"srimangal",1982,290.938159203185
"304",3,39,"srimangal",1982,287.14277404755
"305",6,39,"srimangal",1982,283.408911235519
"306",9,39,"srimangal",1982,287.422649305491
"307",12,39,"srimangal",1982,295.937226115293
"308",15,39,"srimangal",1982,299.951088764744
"309",18,39,"srimangal",1982,297.112919348633
"310",21,39,"srimangal",1982,293.099108301474
"311",0,40,"srimangal",1982,290.260943300555
"312",3,40,"srimangal",1982,286.247153628291
"313",6,40,"srimangal",1982,284.369034330415
"314",9,40,"srimangal",1982,287.928982183286
"315",12,40,"srimangal",1982,295.480907322331
"316",15,40,"srimangal",1982,299.040965669818
"317",18,40,"srimangal",1982,296.523677560124
"318",21,40,"srimangal",1982,292.963664980812
"319",0,41,"srimangal",1982,290.44638078713
"320",3,41,"srimangal",1982,286.886387166084
"321",6,41,"srimangal",1982,284.068911235519
"322",9,41,"srimangal",1982,288.082649305491
"323",12,41,"srimangal",1982,296.597226115293
"324",15,41,"srimangal",1982,300.611088764744
"325",18,41,"srimangal",1982,297.772919348633
"326",21,41,"srimangal",1982,293.759108301474
"327",0,42,"srimangal",1982,290.920943300554
"328",3,42,"srimangal",1982,286.907153628291
"329",6,42,"srimangal",1982,284.408903994643
"330",9,42,"srimangal",1982,288.449335606797
"331",12,42,"srimangal",1982,297.020538985468
"332",15,42,"srimangal",1982,301.061096005622
"333",18,42,"srimangal",1982,298.204051218545
"334",21,42,"srimangal",1982,294.163546143866
"335",0,43,"srimangal",1982,291.306505801344
"336",3,43,"srimangal",1982,287.266022243715
"337",6,43,"srimangal",1982,284.768896095505
"338",9,43,"srimangal",1982,288.838447935495
"339",12,43,"srimangal",1982,297.47142575293
"340",15,43,"srimangal",1982,301.541103904761
"341",18,43,"srimangal",1982,298.663467803904
"342",21,43,"srimangal",1982,294.59384197193
"343",0,44,"srimangal",1982,291.71621034766
"344",3,44,"srimangal",1982,287.646606187814
"345",6,44,"srimangal",1982,286.079199554046
"346",9,44,"srimangal",1982,289.030049308027
"347",12,44,"srimangal",1982,295.2898591029
"348",15,44,"srimangal",1982,298.240800446148
"349",18,44,"srimangal",1982,296.154213983034
"350",21,44,"srimangal",1982,293.203310577142
"351",0,45,"srimangal",1982,291.116727360021
"352",3,45,"srimangal",1982,288.165839668683
"353",6,45,"srimangal",1982,289.41914820965
"354",9,45,"srimangal",1982,292.559279444562
"355",12,45,"srimangal",1982,299.220623091408
"356",15,45,"srimangal",1982,302.360851790555
"357",18,45,"srimangal",1982,300.140421787866
"358",21,45,"srimangal",1982,297.000233459557
"359",0,46,"srimangal",1982,294.779806911075
"360",3,46,"srimangal",1982,291.639635305326
"361",6,46,"srimangal",1982,288.65906790175
"362",9,46,"srimangal",1982,292.095254786321
"363",12,46,"srimangal",1982,299.384638560614
"364",15,46,"srimangal",1982,302.820932098475
"365",18,46,"srimangal",1982,300.391157072348
"366",21,46,"srimangal",1982,296.95490771154
"367",0,47,"srimangal",1982,294.525136465287
"368",3,47,"srimangal",1982,291.088905403664
"369",6,47,"srimangal",1982,287.279035646938
"370",9,47,"srimangal",1982,290.834130128503
"371",12,47,"srimangal",1982,298.375759527754
"372",15,47,"srimangal",1982,301.930964353295
"373",18,47,"srimangal",1982,299.41710812923
"374",21,47,"srimangal",1982,295.861949009468
"375",0,48,"srimangal",1982,293.348096696078
"376",3,48,"srimangal",1982,289.792956508734
"377",6,48,"srimangal",1982,288.458975745144
"378",9,48,"srimangal",1982,292.234898621127
"379",12,48,"srimangal",1982,300.244984181014
"380",15,48,"srimangal",1982,304.021024255103
"381",18,48,"srimangal",1982,301.351017234869
"382",21,48,"srimangal",1982,297.575025705619
"383",0,49,"srimangal",1982,294.905022838974
"384",3,49,"srimangal",1982,291.12905141815
"385",6,49,"srimangal",1982,290.32931738285
"386",9,49,"srimangal",1982,292.845790404954
"387",12,49,"srimangal",1982,298.184131488246
"388",15,49,"srimangal",1982,300.700682617315
"389",18,49,"srimangal",1982,298.921249918097
"390",21,49,"srimangal",1982,296.404731141855
"391",0,50,"srimangal",1982,294.625301210807
"392",3,50,"srimangal",1982,292.108795835875
"393",6,50,"srimangal",1982,290.018996809511
"394",9,50,"srimangal",1982,293.7172657446
"395",12,50,"srimangal",1982,301.562619467779
"396",15,50,"srimangal",1982,305.261003190731
"397",18,50,"srimangal",1982,302.645906340578
"398",21,50,"srimangal",1982,298.947570164115
"399",0,51,"srimangal",1982,296.332477382131
"400",3,51,"srimangal",1982,292.634160900554
"401",6,51,"srimangal",1982,289.499058027828
"402",9,51,"srimangal",1982,292.971645197193
"403",12,51,"srimangal",1982,300.338247019942
"404",15,51,"srimangal",1982,303.810941972399
"405",18,51,"srimangal",1982,301.355427804047
"406",21,51,"srimangal",1982,297.88277749662
"407",0,52,"srimangal",1982,295.427267148182
"408",3,52,"srimangal",1982,291.954635333787
"409",6,52,"srimangal",1982,289.679029722585
"410",9,52,"srimangal",1982,293.255964375026
"411",12,52,"srimangal",1982,300.843924603351
"412",15,52,"srimangal",1982,304.420970277649
"413",18,52,"srimangal",1982,301.89167056825
"414",21,52,"srimangal",1982,298.314670880516
"415",0,53,"srimangal",1982,295.785375105815
"416",3,53,"srimangal",1982,292.208394466808
"417",6,53,"srimangal",1982,289.589017873878
"418",9,53,"srimangal",1982,293.209632868073
"419",12,53,"srimangal",1982,300.890254754545
"420",15,53,"srimangal",1982,304.510982126359
"421",18,53,"srimangal",1982,301.950795446288
"422",21,53,"srimangal",1982,298.330114622612
"423",0,54,"srimangal",1982,295.769931925289
"424",3,54,"srimangal",1982,292.149270382957
"425",6,54,"srimangal",1982,290.209106739178
"426",9,54,"srimangal",1982,293.502119170224
"427",12,54,"srimangal",1982,300.487778620588
