area,day,mean_temp,hour
srimangal,178,298.6669371,6
srimangal,178,300.2571825,9
srimangal,178,303.6306629,12
srimangal,178,305.2209577,15
srimangal,178,304.0964733,18
srimangal,178,302.5061989,21
srimangal,179,301.3817163,0
srimangal,179,299.7914504,3
srimangal,179,298.6061443,6
srimangal,179,300.2085231,9
srimangal,179,303.6077429,12
srimangal,179,305.2101715,15
srimangal,179,304.0771074,18
srimangal,179,302.4746994,21
srimangal,180,301.341637,0
srimangal,180,299.7392376,3
srimangal,180,298.702216,6
srimangal,180,300.2340933,9
srimangal,180,303.4837539,12
srimangal,180,305.0156787,15
srimangal,180,303.9324672,18
srimangal,180,302.4005621,21
srimangal,181,301.3173523,0
srimangal,181,299.7854554,3
srimangal,181,298.6390519,6
srimangal,181,300.1939827,9
srimangal,181,303.492548,12
srimangal,181,305.0475271,15
srimangal,181,303.9480141,18
srimangal,181,302.3930551,21
srimangal,182,301.2935439,0
srimangal,182,299.7385931,3
srimangal,182,298.6724753,6
srimangal,182,300.2186572,9
srimangal,182,303.4986632,12
srimangal,182,305.0448931,15
srimangal,182,303.9515666,18
srimangal,182,302.4053566,21
srimangal,183,301.3120317,0
srimangal,183,299.7658299,3
srimangal,183,298.6677333,6
srimangal,183,300.2331371,9
srimangal,183,303.5539196,12
srimangal,183,305.119372,15
srimangal,183,304.0124534,18
srimangal,183,302.4470211,21
srimangal,184,301.3401043,0
srimangal,184,299.7746803,3
srimangal,184,298.6572185,6
srimangal,184,300.1800915,9
srimangal,184,303.4106508,12
srimangal,184,304.933571,15
srimangal,184,303.8567266,18
srimangal,184,302.3338259,21
srimangal,185,301.2569831,0
srimangal,185,299.7340906,3
srimangal,185,298.5406295,6
srimangal,185,300.1005413,9
srimangal,185,303.4096734,12
srimangal,185,304.9696337,15
srimangal,185,303.8665985,18
srimangal,185,302.3066583,21
srimangal,186,301.2036249,0
srimangal,186,299.643693,3
srimangal,186,298.6269849,6
srimangal,186,300.0407209,9
srimangal,186,303.0397615,12
srimangal,186,304.4535414,15
srimangal,186,303.4538692,18
srimangal,186,302.0401075,21
srimangal,187,301.0404369,0
srimangal,187,299.6266828,3
srimangal,187,298.5440635,6
srimangal,187,300.0560803,9
srimangal,187,303.2636096,12
srimangal,187,304.7756733,15
srimangal,187,303.7065055,18
srimangal,187,302.1944612,21
srimangal,188,301.1252951,0
srimangal,188,299.6132589,3
srimangal,188,298.454055,6
srimangal,188,299.9976825,9
srimangal,188,303.2722696,12
srimangal,188,304.815945,15
srimangal,188,303.7244248,18
srimangal,188,302.1807692,21
srimangal,189,301.0892506,0
srimangal,189,299.5456033,3
srimangal,189,298.5940831,6
srimangal,189,300.0338102,9
srimangal,189,303.0879872,12
srimangal,189,304.527759,15
srimangal,189,303.5097082,18
srimangal,189,302.0699549,21
srimangal,190,301.0519057,0
srimangal,190,299.6121601,3
srimangal,190,298.5119412,6
srimangal,190,300.0867964,9
srimangal,190,303.4276284,12
srimangal,190,305.0025325,15
srimangal,190,303.8889307,18
srimangal,190,302.314047,21
srimangal,191,301.200447,0
srimangal,191,299.6255716,3
srimangal,191,298.5258969,6
srimangal,191,300.0700992,9
srimangal,191,303.3459055,12
srimangal,191,304.8901557,15
srimangal,191,303.7982291,18
srimangal,191,302.2539987,21
srimangal,192,301.1620738,0
srimangal,192,299.6178516,3
srimangal,192,298.5735392,6
srimangal,192,300.0780844,9
srimangal,192,303.2697637,12
srimangal,192,304.7743555,15
srimangal,192,303.7104709,18
srimangal,192,302.2058985,21
srimangal,193,301.1420156,0
srimangal,193,299.6374511,3
srimangal,193,298.524866,6
srimangal,193,299.9889238,9
srimangal,193,303.094715,12
srimangal,193,304.5588182,15
srimangal,193,303.5235628,18
srimangal,193,302.0594784,21
srimangal,194,301.0242246,0
srimangal,194,299.560148,3
srimangal,194,298.5193058,6
srimangal,194,300.1084656,9
srimangal,194,303.479643,12
srimangal,194,305.0688521,15
srimangal,194,303.9451354,18
srimangal,194,302.3559467,21
srimangal,195,301.2322317,0
srimangal,195,299.6430514,3
srimangal,195,298.5398337,6
srimangal,195,300.1231183,9
srimangal,195,303.4818325,12
srimangal,195,305.0651663,15
srimangal,195,303.9456039,18
srimangal,195,302.3622905,21
srimangal,196,301.2427299,0
srimangal,196,299.6594248,3
srimangal,196,298.7190635,6
srimangal,196,300.2312718,9
srimangal,196,303.4392076,12
srimangal,196,304.9514628,15
srimangal,196,303.8821595,18
srimangal,196,302.3699237,21
srimangal,197,301.3006221,0
srimangal,197,299.7883943,3
srimangal,197,298.6632662,6
srimangal,197,300.2042116,9
srimangal,197,303.473109,12
srimangal,197,305.0141022,15
srimangal,197,303.9244785,18
srimangal,197,302.3835051,21
srimangal,198,301.2938831,0
srimangal,198,299.7529179,3
srimangal,198,298.5927246,6
srimangal,198,300.1901223,9
srimangal,198,303.5787754,12
srimangal,198,305.1762228,15
srimangal,198,304.0466808,18
srimangal,198,302.449254,21
srimangal,199,301.3197139,0
srimangal,199,299.7222956,3
srimangal,199,298.6664388,6
srimangal,199,300.1532308,9
srimangal,199,303.3072494,12
srimangal,199,304.7940875,15
srimangal,199,303.7427564,18
srimangal,199,302.2559374,21
srimangal,200,301.204608,0
srimangal,200,299.7177969,3
srimangal,200,298.6785594,6
srimangal,200,300.108899,9
srimangal,200,303.1431619,12
srimangal,200,304.5735459,15
srimangal,200,303.5621331,18
srimangal,200,302.1317674,21
srimangal,201,301.1203562,0
srimangal,201,299.6899982,3
srimangal,201,298.4766955,6
srimangal,201,299.9873073,9
srimangal,201,303.1918563,12
srimangal,201,304.702515,15
srimangal,201,303.6343406,18
srimangal,201,302.1237013,21
srimangal,202,301.0555286,0
srimangal,202,299.5448974,3
srimangal,202,298.4306442,6
srimangal,202,299.9364026,9
srimangal,202,303.1306559,12
srimangal,202,304.6364611,15
srimangal,202,303.5717186,18
srimangal,202,302.0659327,21
srimangal,203,301.0011919,0
srimangal,203,299.4954141,3
srimangal,203,298.4856617,6
srimangal,203,299.926666,9
srimangal,203,302.9835524,12
srimangal,203,304.4246014,15
srimangal,203,303.4056475,18
srimangal,203,301.964617,21
